Natural_convection_horizontal_09_02V_1_01A,Natural_convection_horizontal_15V_1_64A,Natural_convection_horizontal_20_4V_2_28A,Natural_convection_horizontal_25V_2_62A,Natural_convection_horizontal_28_7V_2_99A
2.987737685705065473e+02,3.051152294841081698e+02,3.121781093932897875e+02,3.209235277699306721e+02,3.263913033272543771e+02
2.988272200005907848e+02,3.051569380990121090e+02,3.122919100800003775e+02,3.209530032512682283e+02,3.265073576768024282e+02
2.988873102055865161e+02,3.052462575721373241e+02,3.123243666078302567e+02,3.210758434925547249e+02,3.265769951956402224e+02
2.989339368244537809e+02,3.052819066193479216e+02,3.123406927937918454e+02,3.210660631068830071e+02,3.265908992039384202e+02
2.987939151743283901e+02,3.052105893821151312e+02,3.122811226689245814e+02,3.209874108182866621e+02,3.265259383592799622e+02
2.988539223879139399e+02,3.051689145741311222e+02,3.123135834073411274e+02,3.210464061426247326e+02,3.265027780135999365e+02
2.988606271871847184e+02,3.052284258730990132e+02,3.123190265308970766e+02,3.210316840446971582e+02,3.265863234175126877e+02
2.988005020778368248e+02,3.051927480929209082e+02,3.122539938464372540e+02,3.210120199606386677e+02,3.265120251916412712e+02
2.988806092886641750e+02,3.053116747268506970e+02,3.123243666078302567e+02,3.210807798761862273e+02,3.266280256244259590e+02
2.988739073977008047e+02,3.052700633286193579e+02,3.124164290492752230e+02,3.211052717213955248e+02,3.266790296794022197e+02
2.988606271871847184e+02,3.052344079261990260e+02,3.123460314802947551e+02,3.211298503430351730e+02,3.266836890808182261e+02
2.988739073977008047e+02,3.053056996214892251e+02,3.123731303001380297e+02,3.211298503430351730e+02,3.266975780669003484e+02
2.988672045319282802e+02,3.052640844854770990e+02,3.123785695306112871e+02,3.211151411743381345e+02,3.266465835981799728e+02
2.988739073977008047e+02,3.053650886593251812e+02,3.123785695306112871e+02,3.211544226089114886e+02,3.267994002458573277e+02
2.988806092886641750e+02,3.053176492962792281e+02,3.123622507732019926e+02,3.211396241642930818e+02,3.267068070086277203e+02
2.988739073977008047e+02,3.053176492962792281e+02,3.123785695306112871e+02,3.211985250602591009e+02,3.267392333051975015e+02
2.988873102055865161e+02,3.053116747268506970e+02,3.123893443157159027e+02,3.211691256995131880e+02,3.267531144802383096e+02
2.988472166115375330e+02,3.052522380192126548e+02,3.124055551760668550e+02,3.211396241642930818e+02,3.267300073942219569e+02
2.988272200005907848e+02,3.052998367328792710e+02,3.123514724814547208e+02,3.211200755163783356e+02,3.266975780669003484e+02
2.988938837442076419e+02,3.053710584460254722e+02,3.124164290492752230e+02,3.212328438258263077e+02,3.268781328151245589e+02
2.988005020778368248e+02,3.053294841257098824e+02,3.124001177073589588e+02,3.212132213324269969e+02,3.268457520975726993e+02
2.987939151743283901e+02,3.052640844854770990e+02,3.123569131269568970e+02,3.211985250602591009e+02,3.268596183111303048e+02
2.987471462392960007e+02,3.052402765865656420e+02,3.123081399274993828e+02,3.211396241642930818e+02,3.267994002458573277e+02
2.987804850904753948e+02,3.053116747268506970e+02,3.123785695306112871e+02,3.212132213324269969e+02,3.268873449012259016e+02
2.988339286944374749e+02,3.053056996214892251e+02,3.123676907143648691e+02,3.212181505859425670e+02,3.268411003368076990e+02
2.988938837442076419e+02,3.052938605650753630e+02,3.124488370876060799e+02,3.212524622718830756e+02,3.269243600543106822e+02
2.988539223879139399e+02,3.052938605650753630e+02,3.124109922900091760e+02,3.212230795839824395e+02,3.268688321235767944e+02
2.988205103265558478e+02,3.053532601467010750e+02,3.124217628835627352e+02,3.212132213324269969e+02,3.268873449012259016e+02
2.987804850904753948e+02,3.052582179280269656e+02,3.123514724814547208e+02,3.211249165085953337e+02,3.268272315235682299e+02
2.988472166115375330e+02,3.053472887678185543e+02,3.124271989404321630e+02,3.212867615869486144e+02,3.269058542109389123e+02
2.987804850904753948e+02,3.052700633286193579e+02,3.123135834073411274e+02,3.211641939036259146e+02,3.268179260383875544e+02
2.988606271871847184e+02,3.053472887678185543e+02,3.124704696232109882e+02,3.212377720624850781e+02,3.269382152417855423e+02
2.988606271871847184e+02,3.052582179280269656e+02,3.123893443157159027e+02,3.211935947892828835e+02,3.268411003368076990e+02
2.988272200005907848e+02,3.053414295369498177e+02,3.124326346428916281e+02,3.212573894922878139e+02,3.269197119930194617e+02
2.988272200005907848e+02,3.053116747268506970e+02,3.123947824875256174e+02,3.212082918233975306e+02,3.268641814494563960e+02
2.988672045319282802e+02,3.053472887678185543e+02,3.124109922900091760e+02,3.212622234982731015e+02,3.269105029240678277e+02
