  10
  20
    0.0000    0.0000
    0.0526    0.0000
    0.1053    0.0000
    0.1579    0.0000
    0.2105    0.0000
    0.2632    0.0000
    0.3158    0.0000
    0.3684    0.0000
    0.4211    0.0000
    0.4737    0.0000
    0.5263    0.0000
    0.5789    0.0000
    0.6316    0.0000
    0.6842    0.0000
    0.7368    0.0000
    0.7895    0.0000
    0.8421    0.0000
    0.8947    0.0000
    0.9474    0.0000
    1.0000    0.0000
    0.0240    0.3090
    0.0760    0.3009
    0.1280    0.2928
    0.1800    0.2846
    0.2320    0.2765
    0.2840    0.2684
    0.3360    0.2602
    0.3880    0.2521
    0.4400    0.2440
    0.4920    0.2358
    0.5440    0.2277
    0.5960    0.2196
    0.6480    0.2114
    0.7000    0.2033
    0.7520    0.1952
    0.8040    0.1870
    0.8560    0.1789
    0.9080    0.1708
    0.9600    0.1626
    1.0120    0.1545
    0.0955    0.6106
    0.1456    0.5946
    0.1957    0.5785
    0.2459    0.5624
    0.2960    0.5464
    0.3461    0.5303
    0.3962    0.5142
    0.4463    0.4982
    0.4964    0.4821
    0.5466    0.4660
    0.5967    0.4499
    0.6468    0.4339
    0.6969    0.4178
    0.7470    0.4017
    0.7972    0.3857
    0.8473    0.3696
    0.8974    0.3535
    0.9475    0.3375
    0.9976    0.3214
    1.0477    0.3053
    0.2127    0.8976
    0.2598    0.8740
    0.3068    0.8503
    0.3538    0.8267
    0.4009    0.8031
    0.4479    0.7795
    0.4949    0.7559
    0.5420    0.7322
    0.5890    0.7086
    0.6360    0.6850
    0.6831    0.6614
    0.7301    0.6378
    0.7771    0.6141
    0.8242    0.5905
    0.8712    0.5669
    0.9182    0.5433
    0.9653    0.5197
    1.0123    0.4960
    1.0593    0.4724
    1.1064    0.4488
    0.3729    1.1630
    0.4157    1.1324
    0.4585    1.1018
    0.5013    1.0711
    0.5442    1.0405
    0.5870    1.0099
    0.6298    0.9793
    0.6726    0.9487
    0.7154    0.9181
    0.7582    0.8875
    0.8011    0.8569
    0.8439    0.8263
    0.8867    0.7957
    0.9295    0.7651
    0.9723    0.7345
    1.0152    0.7039
    1.0580    0.6733
    1.1008    0.6427
    1.1436    0.6121
    1.1864    0.5815
    0.5721    1.4004
    0.6097    1.3636
    0.6473    1.3267
    0.6848    1.2898
    0.7224    1.2530
    0.7600    1.2161
    0.7976    1.1793
    0.8351    1.1424
    0.8727    1.1056
    0.9103    1.0687
    0.9479    1.0319
    0.9854    0.9950
    1.0230    0.9582
    1.0606    0.9213
    1.0982    0.8845
    1.1358    0.8476
    1.1733    0.8108
    1.2109    0.7739
    1.2485    0.7371
    1.2861    0.7002
    0.8056    1.6042
    0.8371    1.5620
    0.8685    1.5198
    0.8999    1.4776
    0.9314    1.4354
    0.9628    1.3931
    0.9942    1.3509
    1.0257    1.3087
    1.0571    1.2665
    1.0885    1.2243
    1.1199    1.1821
    1.1514    1.1398
    1.1828    1.0976
    1.2142    1.0554
    1.2457    1.0132
    1.2771    0.9710
    1.3085    0.9288
    1.3400    0.8865
    1.3714    0.8443
    1.4028    0.8021
    1.0679    1.7695
    1.0924    1.7229
    1.1169    1.6764
    1.1415    1.6298
    1.1660    1.5832
    1.1905    1.5367
    1.2150    1.4901
    1.2396    1.4435
    1.2641    1.3970
    1.2886    1.3504
    1.3132    1.3038
    1.3377    1.2573
    1.3622    1.2107
    1.3868    1.1641
    1.4113    1.1176
    1.4358    1.0710
    1.4603    1.0244
    1.4849    0.9779
    1.5094    0.9313
    1.5339    0.8847
    1.3525    1.8923
    1.3695    1.8425
    1.3866    1.7927
    1.4036    1.7429
    1.4206    1.6931
    1.4377    1.6433
    1.4547    1.5935
    1.4718    1.5437
    1.4888    1.4939
    1.5058    1.4441
    1.5229    1.3943
    1.5399    1.3445
    1.5570    1.2947
    1.5740    1.2449
    1.5910    1.1951
    1.6081    1.1453
    1.6251    1.0955
    1.6422    1.0457
    1.6592    0.9959
    1.6762    0.9461
    1.6526    1.9696
    1.6618    1.9178
    1.6709    1.8659
    1.6801    1.8141
    1.6892    1.7623
    1.6983    1.7104
    1.7075    1.6586
    1.7166    1.6068
    1.7258    1.5550
    1.7349    1.5031
    1.7440    1.4513
    1.7532    1.3995
    1.7623    1.3476
    1.7715    1.2958
    1.7806    1.2440
    1.7898    1.1921
    1.7989    1.1403
    1.8080    1.0885
    1.8172    1.0366
    1.8263    0.9848
Mesh connectivity information
Volume nodes
   1    2   22   21
   2    3   23   22
   3    4   24   23
   4    5   25   24
   5    6   26   25
   6    7   27   26
   7    8   28   27
   8    9   29   28
   9   10   30   29
  10   11   31   30
  11   12   32   31
  12   13   33   32
  13   14   34   33
  14   15   35   34
  15   16   36   35
  16   17   37   36
  17   18   38   37
  18   19   39   38
  19   20   40   39
  21   22   42   41
  22   23   43   42
  23   24   44   43
  24   25   45   44
  25   26   46   45
  26   27   47   46
  27   28   48   47
  28   29   49   48
  29   30   50   49
  30   31   51   50
  31   32   52   51
  32   33   53   52
  33   34   54   53
  34   35   55   54
  35   36   56   55
  36   37   57   56
  37   38   58   57
  38   39   59   58
  39   40   60   59
  41   42   62   61
  42   43   63   62
  43   44   64   63
  44   45   65   64
  45   46   66   65
  46   47   67   66
  47   48   68   67
  48   49   69   68
  49   50   70   69
  50   51   71   70
  51   52   72   71
  52   53   73   72
  53   54   74   73
  54   55   75   74
  55   56   76   75
  56   57   77   76
  57   58   78   77
  58   59   79   78
  59   60   80   79
  61   62   82   81
  62   63   83   82
  63   64   84   83
  64   65   85   84
  65   66   86   85
  66   67   87   86
  67   68   88   87
  68   69   89   88
  69   70   90   89
  70   71   91   90
  71   72   92   91
  72   73   93   92
  73   74   94   93
  74   75   95   94
  75   76   96   95
  76   77   97   96
  77   78   98   97
  78   79   99   98
  79   80  100   99
  81   82  102  101
  82   83  103  102
  83   84  104  103
  84   85  105  104
  85   86  106  105
  86   87  107  106
  87   88  108  107
  88   89  109  108
  89   90  110  109
  90   91  111  110
  91   92  112  111
