# Convergence file
# Iter  CFL  res
     121            763.87785    0.14831  -0.18604   4.78452
     122            840.26564    0.11207  -0.14931   4.76790
     123            924.29220    0.09434  -0.12389   4.76277
     124           1016.72142    0.10545  -0.11351   4.73291
     125           1118.39356    0.13844  -0.12311   4.71073
     126           1230.23292    0.17473  -0.15862   4.66622
     127           1353.25621    0.19765  -0.23003   4.59795
     128           1488.58183    0.20273  -0.35368   4.64457
     129           1637.44002    0.17556  -0.54842   4.62906
     130           1801.18402    0.10207  -0.66028   4.70127
     131           1981.30242   -0.03669  -0.48431   4.71726
     132           2179.43266   -0.22316  -0.34268   4.67215
     133           2397.37593   -0.50983  -0.27489   4.50672
     134           2637.11352   -0.73796  -0.25030   4.35728
     135           2900.82487   -0.61819  -0.24458   4.49779
     136           3190.90736   -0.59707  -0.24668   4.59511
     137           3509.99810   -0.53469  -0.25647   4.72235
     138           3509.99810   -0.67060  -0.28205   4.47951
     139           3860.99790   -0.74526  -0.32048   4.41441
     140           4247.09770   -0.68281  -0.36460   4.59278
     141           4671.80746   -0.84742  -0.41818   4.37041
     142           5138.98821   -0.87536  -0.48334   4.29938
     143           5652.88703   -0.87732  -0.53853   4.27704
     144           6218.17574   -0.88591  -0.62032   4.30070
     145           6839.99331   -0.96280  -0.69799   4.20384
     146           7523.99264   -1.00300  -0.78901   4.11379
     147           8276.39190   -1.17686  -0.88947   3.89923
     148           9104.03109   -1.24318  -0.99643   3.80481
     149          10014.43420   -1.30492  -1.11081   3.75014
     150          11015.87762   -1.38661  -1.23231   3.67389
     151          12117.46539   -1.50423  -1.36229   3.54283
     152          13329.21192   -1.60982  -1.50313   3.46265
     153          14662.13312   -1.75461  -1.64785   3.35596
     154          16128.34643   -1.89288  -1.79520   3.20255
     155          17741.18107   -1.87629  -1.93823   3.12006
     156          19515.29918   -2.32621  -2.10124   2.74393
     157          21466.82910   -2.13175  -2.25509   2.94948
     158          23613.51201   -2.06216  -2.41447   3.01715
     159          25974.86321   -2.45324  -2.57578   2.59274
     160          28572.34953   -2.14207  -2.74084   2.92165
     161          31429.58448   -2.04672  -2.90990   2.46569
     162          34572.54293   -2.49674  -3.01113   2.52611
     163          38029.79722   -2.58257  -3.28218   2.47245
     164          41832.77694   -3.72923  -3.48617   1.50728
     165          46016.05464   -3.06775  -3.70505   2.02342
     166          50617.66010   -2.84396  -3.94003   2.23844
     167          55679.42611   -3.05846  -4.19236   2.00693
     168          61247.36872   -3.33683  -4.46426   1.73893
     169          67372.10560   -3.59290  -4.75644   1.48714
     170          74109.31616   -3.85520  -5.06920   1.22650
     171          81520.24777   -4.11030  -5.40319   0.97253
     172          89672.27255   -4.39368  -5.75852   0.68980
     173          98639.49980   -4.75995  -6.13490   0.32325
     174         108503.44978   -5.16194  -6.53113  -0.07905
     175         119353.79476   -5.60311  -6.94547  -0.52055
     176         131289.17424   -6.09399  -7.37568  -1.01188
     177         144418.09166   -6.65420  -7.81932  -1.57291
     178         158859.90083   -7.32856  -8.27437  -2.24954
     179         174745.89091   -8.15826  -8.73981  -3.08774
