# solver_fvmcc_F90:: 1D stagnation line solution file
# Nonequilibrium flow
# Primitive variables and extra data
#"xc"  "u"  "v"  "T"  "p"  "rho"  "h0"  "Mf" "xi(e-)" "xi(N+)" "xi(O+)" "xi(NO+)" "xi(N2+)" "xi(O2+)" "xi(N)" "xi(O)" "xi(NO)" "xi(N2)" "xi(O2)" "rhoi(e-)"  "rhoi(N+)" "rhoi(O+)"  "rhoi(NO+)" "rhoi(N2+)"  "rhoi(O2+)" "rhoi(N)"  "rhoi(O)" "rhoi(NO)"  "rhoi(N2)" "rhoi(O2)"
    0.3502139250E-01    -0.7013716180E-01     0.6333699073E+02     0.8661665994E+03     0.6039300901E+04     0.1524253032E-01     0.1701868473E+08     0.8973838567E-04     0.6978143173E-04     0.2786748792E-04     0.4128897543E-04     0.2684770157E-06     0.1708810617E-09     0.3604727561E-06     0.4982837984E+00     0.2399725398E+00     0.8848579065E-02     0.2501233673E+00     0.2632148402E-02     0.3210187190E-10     0.3273159938E-06     0.5539537409E-06     0.6755528191E-08     0.4014202695E-11     0.9672734797E-08     0.5852793232E-02     0.3219703151E-02     0.2226556276E-03     0.5875849690E-02     0.7063088561E-04
    0.3502352150E-01    -0.8101799957E-01     0.6824138830E+02     0.8985652222E+03     0.6039268961E+04     0.1468189465E-01     0.1709686681E+08     0.1017851920E-03     0.7445667309E-04     0.3104594937E-04     0.4275980258E-04     0.2777615447E-06     0.2203722800E-09     0.3770883604E-06     0.4991568032E+00     0.2400289856E+00     0.8761395075E-02     0.2493477743E+00     0.2556124291E-02     0.3301745835E-10     0.3514988273E-06     0.5529993426E-06     0.6737113251E-08     0.4990136557E-11     0.9753702185E-08     0.5651619825E-02     0.3104327302E-02     0.2125117438E-03     0.5646397348E-02     0.6611740163E-04
    0.3502566650E-01    -0.9276768180E-01     0.7304188291E+02     0.9299736046E+03     0.6039236318E+04     0.1417545907E-01     0.1717358374E+08     0.1145700748E-03     0.7914895512E-04     0.3423256119E-04     0.4424242027E-04     0.2858528759E-06     0.2815186905E-09     0.3919853023E-06     0.5000225343E+00     0.2400834676E+00     0.8673010821E-02     0.2485804650E+00     0.2482220256E-02     0.3391265828E-10     0.3744854640E-06     0.5528463372E-06     0.6699168959E-08     0.6159419212E-11     0.9796541511E-08     0.5470186815E-02     0.3000148183E-02     0.2032620003E-03     0.5438881205E-02     0.6203699626E-04
    0.3502782800E-01    -0.1053876726E+00     0.7774750301E+02     0.9605013130E+03     0.6039203063E+04     0.1371477588E-01     0.1724896361E+08     0.1280762459E-03     0.8385052292E-04     0.3742425768E-04     0.4573199382E-04     0.2928362381E-06     0.3564348435E-09     0.4052217301E-06     0.5008810126E+00     0.2401359129E+00     0.8583572569E-02     0.2478213622E+00     0.2410434588E-02     0.3478505474E-10     0.3963866637E-06     0.5532940038E-06     0.6644670538E-08     0.7550631471E-11     0.9805415337E-08     0.5305391265E-02     0.2905412719E-02     0.1947711632E-03     0.5249906693E-02     0.5832786297E-04
    0.3503000650E-01    -0.1188757374E+00     0.8236607445E+02     0.9902394462E+03     0.6039169439E+04     0.1329316056E-01     0.1732311845E+08     0.1422839832E-03     0.8855519688E-04     0.4061873117E-04     0.4722451032E-04     0.2987896325E-06     0.4474808407E-09     0.4168582345E-06     0.5017324027E+00     0.2401862696E+00     0.8493202577E-02     0.2470702624E+00     0.2340748249E-02     0.3563332025E-10     0.4172991642E-06     0.5541899085E-06     0.6576116219E-08     0.9194606285E-11     0.9784011964E-08     0.5154782210E-02     0.2818734805E-02     0.1869318826E-03     0.5076783506E-02     0.5494026424E-04
    0.3503220150E-01    -0.1332310708E+00     0.8690638462E+02     0.1019277357E+04     0.6039135803E+04     0.1290507679E-01     0.1739617768E+08     0.1571757834E-03     0.9326467805E-04     0.4381693888E-04     0.4872043602E-04     0.3038387385E-06     0.5574036081E-09     0.4270439668E-06     0.5025771948E+00     0.2402346549E+00     0.8401987972E-02     0.2463265356E+00     0.2273093216E-02     0.3645900905E-10     0.4373293480E-06     0.5554535454E-06     0.6496695723E-08     0.1112689746E-10     0.9737480652E-08     0.5016333207E-02     0.2738969048E-02     0.1796550293E-03     0.4917278352E-02     0.5183208862E-04
    0.3503441350E-01    -0.1485169530E+00     0.9139420363E+02     0.1047806310E+04     0.6039102197E+04     0.1254462540E-01     0.1746854437E+08     0.1728002470E-03     0.9801962928E-04     0.4703881933E-04     0.5023965711E-04     0.3083150148E-06     0.6902901622E-09     0.4362815142E-06     0.5034187880E+00     0.2402819127E+00     0.8309719935E-02     0.2455864345E+00     0.2207101526E-02     0.3727431500E-10     0.4567009885E-06     0.5571757340E-06     0.6412878446E-08     0.1340432949E-10     0.9677201393E-08     0.4887896133E-02     0.2664903570E-02     0.1728433445E-03     0.4768995565E-02     0.4895676642E-04
    0.3503664300E-01    -0.1647310152E+00     0.9583378170E+02     0.1075873918E+04     0.6039068360E+04     0.1220855453E-01     0.1754028031E+08     0.1891367605E-03     0.1028163423E-03     0.5028299895E-04     0.5177981234E-04     0.3122388335E-06     0.8497466051E-09     0.4445734560E-06     0.5042573758E+00     0.2403279826E+00     0.8216488076E-02     0.2448497578E+00     0.2142758822E-02     0.3807816068E-10     0.4754599144E-06     0.5592721537E-06     0.6325027901E-08     0.1607015863E-10     0.9603812961E-08     0.4768282804E-02     0.2595864123E-02     0.1664445965E-03     0.4630622955E-02     0.4628933084E-04
    0.3503888950E-01    -0.1818713793E+00     0.1002269715E+03     0.1103509380E+04     0.6039034114E+04     0.1189426951E-01     0.1761140948E+08     0.2061677175E-03     0.1076494863E-03     0.5354684384E-04     0.5333816604E-04     0.3156325628E-06     0.1039657050E-08     0.4519322120E-06     0.5050928022E+00     0.2403727936E+00     0.8122418239E-02     0.2441166099E+00     0.2080072901E-02     0.3886947378E-10     0.4936390425E-06     0.5616731849E-06     0.6233618488E-08     0.1916919209E-10     0.9518233378E-08     0.4656545093E-02     0.2531312790E-02     0.1604174864E-03     0.4501113447E-02     0.4380957644E-04
    0.3504115300E-01    -0.1999429810E+00     0.1045763537E+03     0.1130743931E+04     0.6038999400E+04     0.1159949211E-01     0.1768196843E+08     0.2238838186E-03     0.1125153376E-03     0.5682871140E-04     0.5491258468E-04     0.3185213645E-06     0.1264293481E-08     0.4583809809E-06     0.5059251313E+00     0.2404162936E+00     0.8027608991E-02     0.2433869007E+00     0.2019030584E-02     0.3964767226E-10     0.5112728127E-06     0.5643217186E-06     0.6139121833E-08     0.2274945236E-10     0.9421475192E-08     0.4551852219E-02     0.2470777670E-02     0.1547254793E-03     0.4379546045E-02     0.4149948081E-04
    0.3504343400E-01    -0.2189559398E+00     0.1088851784E+03     0.1157610814E+04     0.6038964174E+04     0.1132221196E-01     0.1775200529E+08     0.2422815777E-03     0.1174116520E-03     0.6012783881E-04     0.5650152468E-04     0.3209320795E-06     0.1528331799E-08     0.4639502725E-06     0.5067546238E+00     0.2404584472E+00     0.7932133229E-02     0.2426603670E+00     0.1959601298E-02     0.4041255629E-10     0.5283961468E-06     0.5671712433E-06     0.6041989577E-08     0.2686209703E-10     0.9314572133E-08     0.4453472527E-02     0.2413842698E-02     0.1493360923E-03     0.4265106728E-02     0.3934292465E-04
    0.3504573250E-01    -0.2389175222E+00     0.1131555068E+03     0.1184134043E+04     0.6038928488E+04     0.1106075521E-01     0.1782154961E+08     0.2613552811E-03     0.1223355161E-03     0.6344293868E-04     0.5810329719E-04     0.3228906357E-06     0.1836778700E-08     0.4686721564E-06     0.5075813712E+00     0.2404992149E+00     0.7836079491E-02     0.2419368943E+00     0.1901764991E-02     0.4116392939E-10     0.5450376221E-06     0.5701825944E-06     0.5942667529E-08     0.3156009403E-10     0.9198558427E-08     0.4360797039E-02     0.2360161555E-02     0.1442224131E-03     0.4157117469E-02     0.3732629747E-04
    0.3504804850E-01    -0.2598350189E+00     0.1173891822E+03     0.1210334825E+04     0.6038892273E+04     0.1081366884E-01     0.1789062779E+08     0.2810997173E-03     0.1272842457E-03     0.6677275089E-04     0.5971641054E-04     0.3244235852E-06     0.2194944740E-08     0.4725821551E-06     0.5084054643E+00     0.2405385628E+00     0.7739533822E-02     0.2412163679E+00     0.1845498598E-02     0.4190170087E-10     0.5612226516E-06     0.5733233182E-06     0.5841590858E-08     0.3689757433E-10     0.9074457470E-08     0.4273297631E-02     0.2309433778E-02     0.1393610662E-03     0.4054989201E-02     0.3543761757E-04
    0.3505038250E-01    -0.2817205967E+00     0.1215887906E+03     0.1236237719E+04     0.6038855570E+04     0.1057963359E-01     0.1795927888E+08     0.3015146133E-03     0.1322565277E-03     0.7011688319E-04     0.6133987548E-04     0.3255567671E-06     0.2608585222E-08     0.4757171840E-06     0.5092271787E+00     0.2405764698E+00     0.7642557142E-02     0.2404985119E+00     0.1790765247E-02     0.4262604262E-10     0.5769782273E-06     0.5765668918E-06     0.5739133712E-08     0.4293190760E-10     0.8943203027E-08     0.4190495773E-02     0.2261386782E-02     0.1347306025E-03     0.3958186208E-02     0.3366590973E-04
    0.3505273450E-01    -0.3045821509E+00     0.1257558297E+03     0.1261859508E+04     0.6038818379E+04     0.1035754172E-01     0.1802752458E+08     0.3225959537E-03     0.1372501775E-03     0.7347427589E-04     0.6297249943E-04     0.3263151220E-06     0.3083701022E-08     0.4781140699E-06     0.5100466091E+00     0.2406129103E+00     0.7545228522E-02     0.2397832087E+00     0.1737538925E-02     0.4333702800E-10     0.5923255252E-06     0.5798905783E-06     0.5635664454E-08     0.4972053098E-10     0.8805704068E-08     0.4111989602E-02     0.2215791738E-02     0.1303131570E-03     0.3866258666E-02     0.3200181062E-04
    0.3505510450E-01    -0.3284277368E+00     0.1298916692E+03     0.1287215323E+04     0.6038780698E+04     0.1014641473E-01     0.1809538477E+08     0.3443402215E-03     0.1422632004E-03     0.7684393417E-04     0.6461321472E-04     0.3267228323E-06     0.3626594000E-08     0.4798098601E-06     0.5108638499E+00     0.2406478622E+00     0.7447624133E-02     0.2390703411E+00     0.1685792102E-02     0.4403478472E-10     0.6072839710E-06     0.5832752709E-06     0.5531520242E-08     0.5732176396E-10     0.8662810691E-08     0.4037424449E-02     0.2172446620E-02     0.1260929231E-03     0.3778808935E-02     0.3043694900E-04
    0.3505749300E-01    -0.3532702026E+00     0.1339984133E+03     0.1312324042E+04     0.6038742505E+04     0.9945343609E-02     0.1816289172E+08     0.3667484311E-03     0.1472948039E-03     0.8022561082E-04     0.6626140896E-04     0.3268033413E-06     0.4243972730E-08     0.4808417654E-06     0.5116791628E+00     0.2406813141E+00     0.7349797199E-02     0.2383596465E+00     0.1635485690E-02     0.4471961941E-10     0.6218743276E-06     0.5867056228E-06     0.5426988211E-08     0.6579616470E-10     0.8515285380E-08     0.3966471492E-02     0.2131163892E-02     0.1220550315E-03     0.3695467049E-02     0.2896351185E-04
    0.3505989950E-01    -0.3791130427E+00     0.1380763527E+03     0.1337192790E+04     0.6038703895E+04     0.9753599460E-02     0.1823004819E+08     0.3898134944E-03     0.1523422852E-03     0.8361775563E-04     0.6791586495E-04     0.3265787784E-06     0.4942612363E-08     0.4812453770E-06     0.5124924699E+00     0.2407132429E+00     0.7251838465E-02     0.2376511588E+00     0.1586601287E-02     0.4539159259E-10     0.6361102372E-06     0.5901672457E-06     0.5322364729E-08     0.7520190502E-10     0.8363881621E-08     0.3898866606E-02     0.2091793173E-02     0.1181878235E-03     0.3615936707E-02     0.2757506567E-04
    0.3506232450E-01    -0.4059692911E+00     0.1421273573E+03     0.1361837399E+04     0.6038664693E+04     0.9570456581E-02     0.1829688247E+08     0.4135370801E-03     0.1574050637E-03     0.8702025345E-04     0.6957604390E-04     0.3260750392E-06     0.5729417156E-08     0.4810612130E-06     0.5133040186E+00     0.2407436429E+00     0.7153797052E-02     0.2369446284E+00     0.1539098762E-02     0.4605105713E-10     0.6500102011E-06     0.5936487363E-06     0.5217953175E-08     0.8559505937E-10     0.8209327828E-08     0.3834347791E-02     0.2054184915E-02     0.1144793564E-03     0.3539922072E-02     0.2626522903E-04
