h1,h2,h3,h4,h5
2.226267110779903829e-02,3.411550544174559718e+00,5.829084551536864112e+00,8.436229069280528847e+00,9.126588594624388762e+00
-2.289565943723563621e-03,3.365106039204664334e+00,5.767024582737080962e+00,8.357328894389690177e+00,9.038819874437422186e+00
-2.546968104320802145e-02,3.321292532837397005e+00,5.708493552528456583e+00,8.282926024744309501e+00,8.967552066276864409e+00
-4.006854363375007833e-02,3.293716618732292822e+00,5.671661280000378724e+00,8.236111404897338062e+00,8.949875648014872453e+00
-5.969539376920000862e-02,3.256665338450281499e+00,5.622181385208232740e+00,8.173228102300145181e+00,8.889691624788586211e+00
-7.300277519091066813e-02,3.231558383001779333e+00,5.588657950383976392e+00,8.130628072070663848e+00,8.854882025520094402e+00
-8.520011123385812235e-02,3.208556150707571497e+00,5.557948729155303802e+00,8.091607392187174952e+00,8.812904387586756982e+00
-1.033427164255370789e-01,3.174360671837714420e+00,5.512302948780733125e+00,8.033613247444774785e+00,8.751745139110997940e+00
-1.173281360169528831e-01,3.148016035465107887e+00,5.477142647291471711e+00,7.988945856123828904e+00,8.700890472583077795e+00
-1.390871223994614991e-01,3.107054967399655698e+00,5.422484989494130048e+00,7.919517366262684099e+00,8.645727707670841866e+00
-1.527971239541404957e-01,3.081262963372079167e+00,5.388075053632737976e+00,7.875813582345217334e+00,8.619540816511005232e+00
-1.654341380254449323e-01,3.057501233045085254e+00,5.356378211011476154e+00,7.835559265681117047e+00,8.551099713055583251e+00
-1.827846510280388692e-01,3.024895048326411651e+00,5.312890358355459419e+00,7.780336280935808979e+00,8.492783406398778823e+00
-1.942581449186226994e-01,3.003345172585015543e+00,5.284153133321875195e+00,7.743847992940061431e+00,8.467322116202899096e+00
-2.084962574674594227e-01,2.976615930705912572e+00,5.248514134857547475e+00,7.698600433452451597e+00,8.414470473127154904e+00
-2.169843970959629276e-01,2.960688146462360226e+00,5.227279750958506277e+00,7.671643246003372774e+00,8.387100671503217697e+00
-2.329069539717317228e-01,2.930824121769711521e+00,5.187471462508362663e+00,7.621110751540244976e+00,8.362133888677924176e+00
