T1,T2,T3,T4,T5
3.242543949717299938e+02,3.242543949717299938e+02,3.242543949717299938e+02,3.242543949717299938e+02,3.329638317399079028e+02
3.243961116207325404e+02,3.243961116207325404e+02,3.243961116207325404e+02,3.243961116207325404e+02,3.330694513265427190e+02
3.245791652561174487e+02,3.245791652561174487e+02,3.245791652561174487e+02,3.245791652561174487e+02,3.332803075852227153e+02
3.246705469089525877e+02,3.246705469089525877e+02,3.246705469089525877e+02,3.246705469089525877e+02,3.333780321149242809e+02
3.248281608659839321e+02,3.248281608659839321e+02,3.248281608659839321e+02,3.248281608659839321e+02,3.335656566452718721e+02
3.249854882114639736e+02,3.249854882114639736e+02,3.249854882114639736e+02,3.249854882114639736e+02,3.337528782912090719e+02
3.251755553184208338e+02,3.251755553184208338e+02,3.251755553184208338e+02,3.251755553184208338e+02,3.340068561546302135e+02
3.253569691618180855e+02,3.253569691618180855e+02,3.253569691618180855e+02,3.253569691618180855e+02,3.342154600821595523e+02
3.254722168893381991e+02,3.254722168893381991e+02,3.254722168893381991e+02,3.254722168893381991e+02,3.342675331274000428e+02
3.256283798443984665e+02,3.256283798443984665e+02,3.256283798443984665e+02,3.256283798443984665e+02,3.344458333643226524e+02
3.257350663718668784e+02,3.257350663718668784e+02,3.257350663718668784e+02,3.257350663718668784e+02,3.345496735507013568e+02
3.258334299135104288e+02,3.258334299135104288e+02,3.258334299135104288e+02,3.258334299135104288e+02,3.346755989946615841e+02
3.259807664607822630e+02,3.259807664607822630e+02,3.259807664607822630e+02,3.259807664607822630e+02,3.348604533033108055e+02
3.260951888850441378e+02,3.260951888850441378e+02,3.260951888850441378e+02,3.260951888850441378e+02,3.350154281888343917e+02
3.262746914390099846e+02,3.262746914390099846e+02,3.262746914390099846e+02,3.262746914390099846e+02,3.351848466002226701e+02
3.263887274765269808e+02,3.263887274765269808e+02,3.263887274765269808e+02,3.263887274765269808e+02,3.352657563593479040e+02
3.264944842201065285e+02,3.264944842201065285e+02,3.264944842201065285e+02,3.264944842201065285e+02,3.354787039629193259e+02
3.266407044797030608e+02,3.266407044797030608e+02,3.266407044797030608e+02,3.266407044797030608e+02,3.356618620145464433e+02
3.267380481784271069e+02,3.267380481784271069e+02,3.267380481784271069e+02,3.267380481784271069e+02,3.357423295168545678e+02
3.268595747353020897e+02,3.268595747353020897e+02,3.268595747353020897e+02,3.268595747353020897e+02,3.359103394922148027e+02
3.269324092319292276e+02,3.269324092319292276e+02,3.269324092319292276e+02,3.269324092319292276e+02,3.359978681415463484e+02
3.270698193165262069e+02,3.270698193165262069e+02,3.270698193165262069e+02,3.270698193165262069e+02,3.360780253780981184e+02
3.271586162063051120e+02,3.271586162063051120e+02,3.271586162063051120e+02,3.271586162063051120e+02,3.362017595009295974e+02
3.272634412866471507e+02,3.272634412866471507e+02,3.272634412866471507e+02,3.272634412866471507e+02,3.363253176677348506e+02
3.274083755763234649e+02,3.274083755763234649e+02,3.274083755763234649e+02,3.274083755763234649e+02,3.364922053533813937e+02
3.274727134340285488e+02,3.274727134340285488e+02,3.274727134340285488e+02,3.274727134340285488e+02,3.365284428894294706e+02
3.275771611497202684e+02,3.275771611497202684e+02,3.275771611497202684e+02,3.275771611497202684e+02,3.367383228843464167e+02
3.277135578485221572e+02,3.277135578485221572e+02,3.277135578485221572e+02,3.277135578485221572e+02,3.368755558423032426e+02
3.277616468997765651e+02,3.277616468997765651e+02,3.277616468997765651e+02,3.277616468997765651e+02,3.368755558423032426e+02
3.278657488471875467e+02,3.278657488471875467e+02,3.278657488471875467e+02,3.278657488471875467e+02,3.370701985304868344e+02
3.279457426940644496e+02,3.279457426940644496e+02,3.279457426940644496e+02,3.279457426940644496e+02,3.371061956011964753e+02
3.281055103741369408e+02,3.281055103741369408e+02,3.281055103741369408e+02,3.281055103741369408e+02,3.373146845135688068e+02
3.281454065616321714e+02,3.281454065616321714e+02,3.281454065616321714e+02,3.281454065616321714e+02,3.374366695021718101e+02
3.282171737017345095e+02,3.282171737017345095e+02,3.282171737017345095e+02,3.282171737017345095e+02,3.374366695021718101e+02
3.282490512473676176e+02,3.282490512473676176e+02,3.282490512473676176e+02,3.282490512473676176e+02,3.374725147984116802e+02
3.284241696442730358e+02,3.284241696442730358e+02,3.284241696442730358e+02,3.284241696442730358e+02,3.376729749562836105e+02
3.284559715882780324e+02,3.284559715882780324e+02,3.284559715882780324e+02,3.284559715882780324e+02,3.376944253523116686e+02
3.285513078701005156e+02,3.285513078701005156e+02,3.285513078701005156e+02,3.285513078701005156e+02,3.378587021788493416e+02
3.286227417268202657e+02,3.286227417268202657e+02,3.286227417268202657e+02,3.286227417268202657e+02,3.379799242384973468e+02
3.286703318039075157e+02,3.286703318039075157e+02,3.286703318039075157e+02,3.286703318039075157e+02,3.379727982244975237e+02
3.287812744100004920e+02,3.287812744100004920e+02,3.287812744100004920e+02,3.287812744100004920e+02,3.381009768288827217e+02
3.288050294727869414e+02,3.288050294727869414e+02,3.288050294727869414e+02,3.288050294727869414e+02,3.381294352090559414e+02
3.288604328006173887e+02,3.288604328006173887e+02,3.288604328006173887e+02,3.288604328006173887e+02,3.381578842361678880e+02
3.288683446892124493e+02,3.288683446892124493e+02,3.288683446892124493e+02,3.288683446892124493e+02,3.381863239157809176e+02
3.289869369669802950e+02,3.289869369669802950e+02,3.289869369669802950e+02,3.289869369669802950e+02,3.382786883854608959e+02
3.290738022666291727e+02,3.290738022666291727e+02,3.290738022666291727e+02,3.290738022666291727e+02,3.384702078185172240e+02
3.291526957228019796e+02,3.291526957228019796e+02,3.291526957228019796e+02,3.291526957228019796e+02,3.385835010423776339e+02
3.292393961913797966e+02,3.292393961913797966e+02,3.292393961913797966e+02,3.292393961913797966e+02,3.386047270082987666e+02
3.292630268264107372e+02,3.292630268264107372e+02,3.292630268264107372e+02,3.292630268264107372e+02,3.386118011725653787e+02
3.293653523442276310e+02,3.293653523442276310e+02,3.293653523442276310e+02,3.293653523442276310e+02,3.387249091539836172e+02
3.294282622934387064e+02,3.294282622934387064e+02,3.294282622934387064e+02,3.294282622934387064e+02,3.387955265646833141e+02
3.294754150050133035e+02,3.294754150050133035e+02,3.294754150050133035e+02,3.294754150050133035e+02,3.388449244451884397e+02
3.295303943141079230e+02,3.295303943141079230e+02,3.295303943141079230e+02,3.295303943141079230e+02,3.388872430239712230e+02
3.296010311318300410e+02,3.296010311318300410e+02,3.296010311318300410e+02,3.296010311318300410e+02,3.389999913454445277e+02
3.296245640362562312e+02,3.296245640362562312e+02,3.296245640362562312e+02,3.296245640362562312e+02,3.390351950416002182e+02
3.296951246942463740e+02,3.296951246942463740e+02,3.296951246942463740e+02,3.296951246942463740e+02,3.390703843967454532e+02
3.297656283428018469e+02,3.297656283428018469e+02,3.297656283428018469e+02,3.297656283428018469e+02,3.391899210742814148e+02
