#Longshot inviscid contour determined from turbulent CFD using SST model. Valid for experiment at low Reynolds number at t=10ms.
#distance_from_throat(m)	radius(m)
1.9979174e-01	3.3686898e-02
2.0090508e-01	3.3859144e-02
2.0202072e-01	3.4031573e-02
2.0313836e-01	3.4204384e-02
2.0425854e-01	3.4377298e-02
2.0537952e-01	3.4550940e-02
2.0650343e-01	3.4724429e-02
2.0762962e-01	3.4898128e-02
2.0875790e-01	3.5072209e-02
2.0988846e-01	3.5246664e-02
2.1102137e-01	3.5421296e-02
2.1215658e-01	3.5596305e-02
2.1329409e-01	3.5771531e-02
2.1443390e-01	3.5947140e-02
2.1557603e-01	3.6122959e-02
2.1672049e-01	3.6299172e-02
2.1786726e-01	3.6475641e-02
2.1901630e-01	3.6652450e-02
2.2016759e-01	3.6829670e-02
2.2132117e-01	3.7007159e-02
2.2247706e-01	3.7184967e-02
2.2363528e-01	3.7363094e-02
2.2479585e-01	3.7541472e-02
2.2595879e-01	3.7720106e-02
2.2712411e-01	3.7899040e-02
2.2829180e-01	3.8078260e-02
2.2946185e-01	3.8257929e-02
2.3063428e-01	3.8438323e-02
2.3180910e-01	3.8619641e-02
2.3298633e-01	3.8802177e-02
2.3416600e-01	3.8986121e-02
2.3534803e-01	3.9171824e-02
2.3653232e-01	3.9359490e-02
2.3771903e-01	3.9549087e-02
2.3890869e-01	3.9740330e-02
2.4010080e-01	3.9933137e-02
2.4132182e-01	4.0132315e-02
2.4254941e-01	4.0332359e-02
2.4378350e-01	4.0532926e-02
2.4502370e-01	4.0733812e-02
2.4627004e-01	4.0934863e-02
2.4752268e-01	4.1135345e-02
2.4878167e-01	4.1335302e-02
2.5004701e-01	4.1534864e-02
2.5131871e-01	4.1734366e-02
2.5259682e-01	4.1933991e-02
2.5388139e-01	4.2133896e-02
2.5517243e-01	4.2334262e-02
2.5646997e-01	4.2535285e-02
2.5777405e-01	4.2737181e-02
2.5908472e-01	4.2940049e-02
2.6040199e-01	4.3143970e-02
2.6172590e-01	4.3348953e-02
2.6305649e-01	4.3554923e-02
2.6439378e-01	4.3761777e-02
2.6573782e-01	4.3969317e-02
2.6708863e-01	4.4177363e-02
2.6844625e-01	4.4385773e-02
2.6981073e-01	4.4594449e-02
2.7118209e-01	4.4803333e-02
2.7256036e-01	4.5012411e-02
2.7394558e-01	4.5221716e-02
2.7533779e-01	4.5431312e-02
2.7673702e-01	4.5641253e-02
2.7814330e-01	4.5851592e-02
2.7955667e-01	4.6062383e-02
2.8097717e-01	4.6273683e-02
2.8240485e-01	4.6485554e-02
2.8383972e-01	4.6697784e-02
2.8528183e-01	4.6910852e-02
2.8673120e-01	4.7124965e-02
2.8818789e-01	4.7339598e-02
2.8965193e-01	4.7554806e-02
2.9112336e-01	4.7770677e-02
2.9260221e-01	4.7987216e-02
2.9408850e-01	4.8204417e-02
2.9558229e-01	4.8422230e-02
2.9708362e-01	4.8640626e-02
2.9859253e-01	4.8859604e-02
3.0010906e-01	4.9079175e-02
3.0163322e-01	4.9299346e-02
3.0316506e-01	4.9520118e-02
3.0470464e-01	4.9741502e-02
3.0625200e-01	4.9963510e-02
3.0780715e-01	5.0186149e-02
3.0937016e-01	5.0409425e-02
3.1094104e-01	5.0633331e-02
3.1251984e-01	5.0857862e-02
3.1410661e-01	5.1083016e-02
3.1570140e-01	5.1308792e-02
3.1730422e-01	5.1535189e-02
3.1891512e-01	5.1762204e-02
3.2053415e-01	5.1989837e-02
3.2216136e-01	5.2218092e-02
3.2379676e-01	5.2446976e-02
3.2544041e-01	5.2676497e-02
3.2709235e-01	5.2906653e-02
3.2875263e-01	5.3137447e-02
3.3042128e-01	5.3368888e-02
3.3209835e-01	5.3600979e-02
3.3378388e-01	5.3833718e-02
3.3547791e-01	5.4067180e-02
3.3718049e-01	5.4301247e-02
3.3889165e-01	5.4535938e-02
3.4061145e-01	5.4771280e-02
3.4233992e-01	5.5007271e-02
3.4407711e-01	5.5243908e-02
3.4582307e-01	5.5481190e-02
3.4757784e-01	5.5719113e-02
3.4934145e-01	5.5957673e-02
3.5111396e-01	5.6196863e-02
3.5289542e-01	5.6436678e-02
3.5468586e-01	5.6677109e-02
3.5648533e-01	5.6918256e-02
3.5829388e-01	5.7159947e-02
3.6011155e-01	5.7402198e-02
3.6193839e-01	5.7645051e-02
3.6377445e-01	5.7888508e-02
3.6561976e-01	5.8132571e-02
3.6747437e-01	5.8377234e-02
3.6933835e-01	5.8622500e-02
3.7121174e-01	5.8868506e-02
3.7309456e-01	5.9115057e-02
3.7498687e-01	5.9362186e-02
3.7688873e-01	5.9609938e-02
3.7880019e-01	5.9858322e-02
3.8072130e-01	6.0107343e-02
3.8265209e-01	6.0357128e-02
3.8459262e-01	6.0607461e-02
3.8654294e-01	6.0858371e-02
3.8850309e-01	6.1109902e-02
3.9047311e-01	6.1362041e-02
3.9245307e-01	6.1614905e-02
3.9444305e-01	6.1868275e-02
3.9644306e-01	6.2122191e-02
3.9845313e-01	6.2376698e-02
4.0047333e-01	6.2631914e-02
4.0250374e-01	6.2887614e-02
4.0454439e-01	6.3143841e-02
4.0659533e-01	6.3400652e-02
4.0865661e-01	6.3658182e-02
4.1072828e-01	6.3916197e-02
4.1281041e-01	6.4174737e-02
4.1490304e-01	6.4433997e-02
4.1700622e-01	6.4693748e-02
4.1912000e-01	6.4954033e-02
4.2124444e-01	6.5214904e-02
4.2337959e-01	6.5476502e-02
4.2552551e-01	6.5738599e-02
4.2768226e-01	6.6001241e-02
4.2984987e-01	6.6264618e-02
4.3202841e-01	6.6528497e-02
4.3421795e-01	6.6792921e-02
4.3641852e-01	6.7058070e-02
4.3863019e-01	6.7323716e-02
4.4085301e-01	6.7590018e-02
4.4308703e-01	6.7856796e-02
4.4533231e-01	6.8124087e-02
4.4758891e-01	6.8392064e-02
4.4985689e-01	6.8660507e-02
4.5213632e-01	6.8929589e-02
4.5442724e-01	6.9199140e-02
4.5672971e-01	6.9469330e-02
4.5904378e-01	6.9739992e-02
4.6136952e-01	7.0011293e-02
4.6370698e-01	7.0283070e-02
4.6605623e-01	7.0555366e-02
4.6841732e-01	7.0828339e-02
4.7079031e-01	7.1101795e-02
4.7317526e-01	7.1375887e-02
4.7557222e-01	7.1650458e-02
4.7798128e-01	7.1925642e-02
4.8040248e-01	7.2201393e-02
4.8283589e-01	7.2477578e-02
4.8528157e-01	7.2754358e-02
4.8773957e-01	7.3031604e-02
4.9020996e-01	7.3309435e-02
4.9269280e-01	7.3587736e-02
4.9518815e-01	7.3866625e-02
4.9769609e-01	7.4146012e-02
5.0021666e-01	7.4425992e-02
5.0274993e-01	7.4706540e-02
5.0529597e-01	7.4987572e-02
5.0785485e-01	7.5269184e-02
5.1042662e-01	7.5551350e-02
5.1301136e-01	7.5834011e-02
5.1560912e-01	7.6117242e-02
5.1821997e-01	7.6400992e-02
5.2084397e-01	7.6685290e-02
5.2348119e-01	7.6970132e-02
5.2613171e-01	7.7255504e-02
5.2879560e-01	7.7541392e-02
5.3147291e-01	7.7827801e-02
5.3416370e-01	7.8114720e-02
5.3686805e-01	7.8402141e-02
5.3958602e-01	7.8690060e-02
5.4231769e-01	7.8978477e-02
5.4506312e-01	7.9267390e-02
5.4782240e-01	7.9556842e-02
5.5059557e-01	7.9846786e-02
5.5338271e-01	8.0137234e-02
5.5618387e-01	8.0428185e-02
5.5899915e-01	8.0719630e-02
5.6182863e-01	8.1011639e-02
5.6467237e-01	8.1304095e-02
5.6753043e-01	8.1597009e-02
5.7040289e-01	8.1890392e-02
5.7328982e-01	8.2184237e-02
5.7619128e-01	8.2478598e-02
5.7910735e-01	8.2773386e-02
5.8203812e-01	8.3068612e-02
5.8498368e-01	8.3364299e-02
5.8794405e-01	8.3660447e-02
5.9091932e-01	8.3957054e-02
5.9390958e-01	8.4254301e-02
5.9691491e-01	8.4551879e-02
5.9993538e-01	8.4849852e-02
6.0297106e-01	8.5148274e-02
6.0602202e-01	8.5447132e-02
6.0908837e-01	8.5746430e-02
6.1217015e-01	8.6046170e-02
6.1526745e-01	8.6346343e-02
6.1838035e-01	8.6646989e-02
6.2150892e-01	8.6948026e-02
6.2465325e-01	8.7249468e-02
6.2781341e-01	8.7551329e-02
6.3098949e-01	8.7853611e-02
6.3418157e-01	8.8156317e-02
6.3738971e-01	8.8459451e-02
6.4061400e-01	8.8763016e-02
6.4385452e-01	8.9066562e-02
6.4711136e-01	8.9370826e-02
6.5038460e-01	8.9675654e-02
6.5367433e-01	8.9980841e-02
6.5698062e-01	9.0286460e-02
6.6030357e-01	9.0592499e-02
6.6364325e-01	9.0898937e-02
6.6699973e-01	9.1205762e-02
6.7037310e-01	9.1512969e-02
6.7376345e-01	9.1820553e-02
6.7717087e-01	9.2128510e-02
6.8059545e-01	9.2436112e-02
6.8403727e-01	9.2744567e-02
6.8749641e-01	9.3053615e-02
6.9097296e-01	9.3363040e-02
6.9446701e-01	9.3672837e-02
6.9797865e-01	9.3982144e-02
7.0150796e-01	9.4292374e-02
7.0505506e-01	9.4603212e-02
7.0862002e-01	9.4914397e-02
7.1220290e-01	9.5225926e-02
7.1580380e-01	9.5536805e-02
7.1942281e-01	9.5848678e-02
7.2306004e-01	9.6160509e-02
7.2671561e-01	9.6473065e-02
7.3038958e-01	9.6786124e-02
7.3408202e-01	9.7099510e-02
7.3779303e-01	9.7412034e-02
7.4152273e-01	9.7725684e-02
7.4527120e-01	9.8040009e-02
7.4903853e-01	9.8353385e-02
7.5282480e-01	9.8667964e-02
7.5663012e-01	9.8983244e-02
7.6045460e-01	9.9297460e-02
7.6429834e-01	9.9612916e-02
7.6816142e-01	9.9929067e-02
7.7204392e-01	1.0024403e-01
7.7594593e-01	1.0056030e-01
7.7986756e-01	1.0087729e-01
7.8380895e-01	1.0119295e-01
7.8777019e-01	1.0150962e-01
7.9175136e-01	1.0182721e-01
7.9575254e-01	1.0214343e-01
7.9977383e-01	1.0246114e-01
8.0381536e-01	1.0277779e-01
8.0787720e-01	1.0309599e-01
8.1195947e-01	1.0341306e-01
8.1606231e-01	1.0373171e-01
8.2018580e-01	1.0405115e-01
8.2433004e-01	1.0436875e-01
8.2849509e-01	1.0468806e-01
8.3268105e-01	1.0500603e-01
8.3688809e-01	1.0532574e-01
8.4111639e-01	1.0564391e-01
8.4536583e-01	1.0596400e-01
8.4963639e-01	1.0628305e-01
8.5425289e-01	1.0662512e-01
8.5889706e-01	1.0697028e-01
8.6356910e-01	1.0731401e-01
8.6826938e-01	1.0765740e-01
8.7299802e-01	1.0800107e-01
8.7775517e-01	1.0834791e-01
8.8254102e-01	1.0869297e-01
8.8735574e-01	1.0903763e-01
8.9219947e-01	1.0938565e-01
8.9707240e-01	1.0973176e-01
9.0197473e-01	1.1007742e-01
9.0690663e-01	1.1042338e-01
9.1186827e-01	1.1077147e-01
9.1685983e-01	1.1111834e-01
9.2188148e-01	1.1146499e-01
9.2693339e-01	1.1181547e-01
9.3201576e-01	1.1216359e-01
9.3712879e-01	1.1251110e-01
9.4227265e-01	1.1285883e-01
9.4744752e-01	1.1320678e-01
9.5265359e-01	1.1355493e-01
9.5789104e-01	1.1390329e-01
9.6316007e-01	1.1425585e-01
9.6846086e-01	1.1460559e-01
9.7379360e-01	1.1495421e-01
9.7915851e-01	1.1530308e-01
9.8455577e-01	1.1565214e-01
9.8998553e-01	1.1600140e-01
9.9544801e-01	1.1635084e-01
1.0009434e+00	1.1670046e-01
1.0064720e+00	1.1705017e-01
1.0120339e+00	1.1739994e-01
1.0176293e+00	1.1774982e-01
1.0232584e+00	1.1809984e-01
1.0289215e+00	1.1845140e-01
1.0346187e+00	1.1880166e-01
1.0403502e+00	1.1915161e-01
1.0461162e+00	1.1950164e-01
1.0519171e+00	1.1985175e-01
1.0577528e+00	1.2020192e-01
1.0636238e+00	1.2055216e-01
1.0695301e+00	1.2090243e-01
1.0754721e+00	1.2124685e-01
1.0814498e+00	1.2159596e-01
1.0874635e+00	1.2195029e-01
1.0935135e+00	1.2229502e-01
1.0996000e+00	1.2264379e-01
1.1057231e+00	1.2299393e-01
1.1118831e+00	1.2334407e-01
1.1180802e+00	1.2369420e-01
1.1243147e+00	1.2404431e-01
1.1305868e+00	1.2439441e-01
1.1368966e+00	1.2473742e-01
1.1432444e+00	1.2508558e-01
1.1496305e+00	1.2543504e-01
1.1560551e+00	1.2578435e-01
1.1625183e+00	1.2612816e-01
1.1690205e+00	1.2647596e-01
1.1755619e+00	1.2682468e-01
1.1821427e+00	1.2716959e-01
1.1887631e+00	1.2751710e-01
1.1954234e+00	1.2786513e-01
1.2021238e+00	1.2820997e-01
1.2088646e+00	1.2855251e-01
1.2156460e+00	1.2889861e-01
1.2224682e+00	1.2924527e-01
1.2293315e+00	1.2958700e-01
1.2362362e+00	1.2993208e-01
1.2431824e+00	1.3027276e-01
1.2501705e+00	1.3061696e-01
1.2572007e+00	1.3095506e-01
1.2642732e+00	1.3129770e-01
1.2713883e+00	1.3163541e-01
1.2785462e+00	1.3197724e-01
1.2857473e+00	1.3231974e-01
1.2929917e+00	1.3265561e-01
1.3002798e+00	1.3299601e-01
1.3076117e+00	1.3333386e-01
1.3149878e+00	1.3366682e-01
1.3224083e+00	1.3400536e-01
1.3298735e+00	1.3433755e-01
1.3373836e+00	1.3467501e-01
1.3449390e+00	1.3500582e-01
1.3525399e+00	1.3534222e-01
1.3601865e+00	1.3566986e-01
1.3678791e+00	1.3600457e-01
1.3756181e+00	1.3633202e-01
1.3834037e+00	1.3666571e-01
1.3912361e+00	1.3699162e-01
1.3991157e+00	1.3731512e-01
1.4070427e+00	1.3764683e-01
1.4150175e+00	1.3797037e-01
1.4230402e+00	1.3830049e-01
1.4311112e+00	1.3862164e-01
1.4392309e+00	1.3894012e-01
1.4473994e+00	1.3926796e-01
1.4556171e+00	1.3958639e-01
1.4638842e+00	1.3991281e-01
1.4722011e+00	1.4023232e-01
1.4805680e+00	1.4054615e-01
1.4889854e+00	1.4085833e-01
1.4974534e+00	1.4118119e-01
1.5059723e+00	1.4149339e-01
1.5145425e+00	1.4180260e-01
1.5231644e+00	1.4211709e-01
1.5318381e+00	1.4242461e-01
1.5405639e+00	1.4274295e-01
1.5493423e+00	1.4304944e-01
1.5581735e+00	1.4335282e-01
1.5670579e+00	1.4365441e-01
1.5760212e+00	1.4397121e-01
1.5849845e+00	1.4427038e-01
1.5939481e+00	1.4456704e-01
1.6029118e+00	1.4486107e-01
1.6118756e+00	1.4516574e-01
1.6208396e+00	1.4545575e-01
1.6298037e+00	1.4574066e-01
1.6387680e+00	1.4602154e-01
1.6477325e+00	1.4629932e-01
1.6566971e+00	1.4658800e-01
1.6656617e+00	1.4686221e-01
1.6746266e+00	1.4713131e-01
1.6835916e+00	1.4740022e-01
1.6925566e+00	1.4766347e-01
1.7015219e+00	1.4792331e-01
1.7104872e+00	1.4819386e-01
1.7194527e+00	1.4845005e-01
1.7284184e+00	1.4870132e-01
1.7373841e+00	1.4895522e-01
1.7463500e+00	1.4920107e-01
1.7553160e+00	1.4945687e-01
1.7642821e+00	1.4969841e-01
1.7732483e+00	1.4993505e-01
1.7822147e+00	1.5018237e-01
1.7911812e+00	1.5041086e-01
1.8001477e+00	1.5065124e-01
1.8091144e+00	1.5087764e-01
1.8180812e+00	1.5111289e-01
1.8270482e+00	1.5133389e-01
1.8360152e+00	1.5155024e-01
1.8449823e+00	1.5178105e-01
1.8539495e+00	1.5199418e-01
1.8629168e+00	1.5221576e-01
1.8718843e+00	1.5242305e-01
1.8808518e+00	1.5262564e-01
1.8898195e+00	1.5283951e-01
1.8987872e+00	1.5304513e-01
1.9077550e+00	1.5324049e-01
1.9167230e+00	1.5344612e-01
1.9256910e+00	1.5363769e-01
1.9346592e+00	1.5383856e-01
1.9436274e+00	1.5402531e-01
1.9525957e+00	1.5421574e-01
1.9615640e+00	1.5441017e-01
1.9705325e+00	1.5458897e-01
1.9795012e+00	1.5477708e-01
1.9884698e+00	1.5495100e-01
1.9974386e+00	1.5513449e-01
2.0064074e+00	1.5531477e-01
2.0153763e+00	1.5548078e-01
2.0243453e+00	1.5565681e-01
2.0333144e+00	1.5583265e-01
2.0422836e+00	1.5599201e-01
2.0512529e+00	1.5616104e-01
2.0602222e+00	1.5631489e-01
2.0691917e+00	1.5647866e-01
2.0781612e+00	1.5664358e-01
2.0871307e+00	1.5678983e-01
2.0961004e+00	1.5694915e-01
2.1050701e+00	1.5708998e-01
2.1140399e+00	1.5724823e-01
2.1230098e+00	1.5738281e-01
2.1319797e+00	1.5753451e-01
2.1409497e+00	1.5768767e-01
2.1499198e+00	1.5781569e-01
2.1588899e+00	1.5796118e-01
2.1678601e+00	1.5809096e-01
2.1768304e+00	1.5823243e-01
2.1858008e+00	1.5835054e-01
2.1947713e+00	1.5848685e-01
2.2037418e+00	1.5862481e-01
2.2127123e+00	1.5873692e-01
2.2216829e+00	1.5887797e-01
2.2306536e+00	1.5898685e-01
2.2396243e+00	1.5911305e-01
2.2485951e+00	1.5924095e-01
2.2575660e+00	1.5934219e-01
2.2665369e+00	1.5946232e-01
2.2755079e+00	1.5957355e-01
2.2844790e+00	1.5969168e-01
2.2934450e+00	1.5980815e-01
2.3024111e+00	1.5992225e-01
2.3113773e+00	1.6000811e-01
2.3203436e+00	1.6011415e-01
2.3293099e+00	1.6021655e-01
2.3382763e+00	1.6032321e-01
2.3472426e+00	1.6042921e-01
2.3562091e+00	1.6053352e-01
2.3651756e+00	1.6061586e-01
2.3741421e+00	1.6071325e-01
2.3831088e+00	1.6081579e-01
2.3920755e+00	1.6089076e-01
2.4010422e+00	1.6098178e-01
2.4100089e+00	1.6107423e-01
2.4189757e+00	1.6116495e-01
2.4279425e+00	1.6125387e-01
2.4369094e+00	1.6132481e-01
2.4458764e+00	1.6140684e-01
2.4548434e+00	1.6148919e-01
2.4638105e+00	1.6156979e-01
2.4727776e+00	1.6164865e-01
2.4817447e+00	1.6172584e-01
2.4907119e+00	1.6178699e-01
2.4996791e+00	1.6185777e-01
2.5086464e+00	1.6192857e-01
2.5176137e+00	1.6199758e-01
2.5265811e+00	1.6206485e-01
2.5355485e+00	1.6213042e-01
2.5445159e+00	1.6218246e-01
2.5534834e+00	1.6224219e-01
2.5624509e+00	1.6230173e-01
2.5714184e+00	1.6235958e-01
2.5803860e+00	1.6241571e-01
2.5893537e+00	1.6247011e-01
2.5983213e+00	1.6251396e-01
2.6072891e+00	1.6256267e-01
2.6162568e+00	1.6261059e-01
2.6252246e+00	1.6265664e-01
2.6341925e+00	1.6270096e-01
2.6431603e+00	1.6277764e-01
2.6521282e+00	1.6281876e-01
2.6610961e+00	1.6285684e-01
2.6700641e+00	1.6289349e-01
2.6790321e+00	1.6293170e-01
2.6880002e+00	1.6296869e-01
2.6969682e+00	1.6300384e-01
2.7059363e+00	1.6303713e-01
2.7149045e+00	1.6306743e-01
2.7238726e+00	1.6309598e-01
2.7328409e+00	1.6312255e-01
2.7418091e+00	1.6314714e-01
2.7507774e+00	1.6316981e-01
2.7597456e+00	1.6319063e-01
2.7687140e+00	1.6321221e-01
2.7776823e+00	1.6322829e-01
2.7866507e+00	1.6327631e-01
2.7956191e+00	1.6329195e-01
2.8045876e+00	1.6330090e-01
2.8135560e+00	1.6330730e-01
2.8225245e+00	1.6331892e-01
2.8314931e+00	1.6332001e-01
2.8404616e+00	1.6331699e-01
2.8494302e+00	1.6334987e-01
2.8583989e+00	1.6334593e-01
2.8673675e+00	1.6333441e-01
2.8763362e+00	1.6331985e-01
2.8853048e+00	1.6333890e-01
2.8942735e+00	1.6332059e-01
2.9032423e+00	1.6329432e-01
2.9122110e+00	1.6326484e-01
2.9211798e+00	1.6327673e-01
2.9301486e+00	1.6324691e-01
2.9391175e+00	1.6320903e-01
2.9480863e+00	1.6319952e-01
2.9570552e+00	1.6315976e-01
2.9660241e+00	1.6316169e-01
2.9749930e+00	1.6311982e-01
2.9839620e+00	1.6311922e-01
2.9929310e+00	1.6306986e-01
3.0019000e+00	1.6301935e-01
