#Longshot inviscid contour determined from turbulent CFD using SST model. Valid for experiment at low Reynolds number at t=10ms.
#distance_from_throat(m)	radius(m)
-2.4201605e-02	9.8233236e-03
-2.4058899e-02	9.6899433e-03
-2.3916142e-02	9.5580453e-03
-2.3773331e-02	9.4276355e-03
-2.3630464e-02	9.2987189e-03
-2.3487540e-02	9.1713004e-03
-2.3344557e-02	9.0453843e-03
-2.3201514e-02	8.9209760e-03
-2.3058409e-02	8.7980816e-03
-2.2915241e-02	8.6767071e-03
-2.2772009e-02	8.5568581e-03
-2.2628714e-02	8.4385392e-03
-2.2485356e-02	8.3217548e-03
-2.2341936e-02	8.2065087e-03
-2.2198457e-02	8.0928051e-03
-2.2054919e-02	7.9806487e-03
-2.1911324e-02	7.8700437e-03
-2.1767675e-02	7.7609943e-03
-2.1623974e-02	7.6535053e-03
-2.1480223e-02	7.5475816e-03
-2.1336425e-02	7.4432275e-03
-2.1192583e-02	7.3404456e-03
-2.1048705e-02	7.2392364e-03
-2.0904796e-02	7.1396003e-03
-2.0760863e-02	7.0415376e-03
-2.0616911e-02	6.9450505e-03
-2.0472945e-02	6.8501416e-03
-2.0328971e-02	6.7568130e-03
-2.0184996e-02	6.6650655e-03
-2.0041027e-02	6.5748986e-03
-1.9897071e-02	6.4863114e-03
-1.9753138e-02	6.3993026e-03
-1.9609236e-02	6.3138699e-03
-1.9465375e-02	6.2300109e-03
-1.9321563e-02	6.1477225e-03
-1.9177810e-02	6.0670010e-03
-1.9034127e-02	5.9878418e-03
-1.8890524e-02	5.9102399e-03
-1.8747012e-02	5.8341902e-03
-1.8603600e-02	5.7596872e-03
-1.8460300e-02	5.6867250e-03
-1.8317122e-02	5.6152975e-03
-1.8174079e-02	5.5453966e-03
-1.8031182e-02	5.4770125e-03
-1.7888443e-02	5.4101351e-03
-1.7745875e-02	5.3447543e-03
-1.7603489e-02	5.2808595e-03
-1.7461299e-02	5.2184399e-03
-1.7319314e-02	5.1574846e-03
-1.7177550e-02	5.0979802e-03
-1.7036017e-02	5.0399112e-03
-1.6894730e-02	4.9832624e-03
-1.6753700e-02	4.9280185e-03
-1.6612941e-02	4.8741643e-03
-1.6472463e-02	4.8216848e-03
-1.6332279e-02	4.7705651e-03
-1.6192400e-02	4.7207896e-03
-1.6052836e-02	4.6723423e-03
-1.5913600e-02	4.6252073e-03
-1.5774702e-02	4.5793677e-03
-1.5636154e-02	4.5348021e-03
-1.5497969e-02	4.4914876e-03
-1.5360157e-02	4.4494016e-03
-1.5222730e-02	4.4085233e-03
-1.5085698e-02	4.3688350e-03
-1.4949068e-02	4.3303191e-03
-1.4812851e-02	4.2929580e-03
-1.4677055e-02	4.2567291e-03
-1.4541691e-02	4.2216067e-03
-1.4406768e-02	4.1875655e-03
-1.4272296e-02	4.1545815e-03
-1.4138281e-02	4.1226354e-03
-1.4004731e-02	4.0917091e-03
-1.3871652e-02	4.0617850e-03
-1.3739051e-02	4.0328425e-03
-1.3606934e-02	4.0048552e-03
-1.3475310e-02	3.9777963e-03
-1.3328968e-02	3.9486550e-03
-1.3183171e-02	3.9205920e-03
-1.3037927e-02	3.8935849e-03
-1.2893241e-02	3.8676121e-03
-1.2749119e-02	3.8426497e-03
-1.2605568e-02	3.8186651e-03
-1.2462597e-02	3.7956247e-03
-1.2320210e-02	3.7734953e-03
-1.2178415e-02	3.7522464e-03
-1.2037215e-02	3.7318491e-03
-1.1896615e-02	3.7122753e-03
-1.1756619e-02	3.6934987e-03
-1.1617230e-02	3.6754985e-03
-1.1478450e-02	3.6582555e-03
-1.1340280e-02	3.6417505e-03
-1.1202725e-02	3.6259578e-03
-1.1065785e-02	3.6108443e-03
-1.0929466e-02	3.5963768e-03
-1.0793768e-02	3.5825245e-03
-1.0658692e-02	3.5692663e-03
-1.0524239e-02	3.5565858e-03
-1.0390410e-02	3.5444671e-03
-1.0257203e-02	3.5328923e-03
-1.0124619e-02	3.5218379e-03
-9.9926591e-03	3.5112791e-03
-9.8613227e-03	3.5011922e-03
-9.7306096e-03	3.4915548e-03
-9.6005193e-03	3.4823470e-03
-9.4710509e-03	3.4735496e-03
-9.3422035e-03	3.4651437e-03
-9.2139757e-03	3.4571135e-03
-9.0863661e-03	3.4494459e-03
-8.9593731e-03	3.4421283e-03
-8.8329949e-03	3.4351482e-03
-8.7072299e-03	3.4284892e-03
-8.5820766e-03	3.4221317e-03
-8.4575336e-03	3.4160562e-03
-8.3335990e-03	3.4102440e-03
-8.2102711e-03	3.4046774e-03
-8.0875478e-03	3.3993397e-03
-7.9654271e-03	3.3942147e-03
-7.8439068e-03	3.3892870e-03
-7.7229844e-03	3.3845496e-03
-7.6026573e-03	3.3800041e-03
-7.4829225e-03	3.3756527e-03
-7.3637773e-03	3.3714973e-03
-7.2452191e-03	3.3675290e-03
-7.1272460e-03	3.3637213e-03
-7.0098562e-03	3.3600467e-03
-6.8930476e-03	3.3564787e-03
-6.7768181e-03	3.3529981e-03
-6.6611646e-03	3.3496095e-03
-6.5460842e-03	3.3463217e-03
-6.4315738e-03	3.3431436e-03
-6.3176303e-03	3.3400818e-03
