Natural_convection_vertical_09_02V_1_01A,Natural_convection_vertical_15V_1_64A,Natural_convection_vertical_20_4V_2_28A,Natural_convection_vertical_25V_2_62A,Natural_convection_vertical_28_7V_2_99A
2.989072807514142482e+02,3.056259110357376585e+02,3.128102164803892151e+02,3.219458064729016087e+02,3.275969858389096885e+02
2.989072807514142482e+02,3.055785435947321957e+02,3.128263460462607100e+02,3.219312226257172256e+02,3.275510718028048132e+02
2.988539223879139399e+02,3.055252996591021883e+02,3.127509801311856563e+02,3.218776679215385457e+02,3.275326827985382465e+02
2.988339286944374749e+02,3.055133870180081885e+02,3.127725347398632039e+02,3.218679694677651923e+02,3.275280632232551739e+02
2.988672045319282802e+02,3.054600914110522467e+02,3.127348360898839132e+02,3.218094808010815768e+02,3.274223642977762552e+02
2.988139262967721379e+02,3.055370978356592104e+02,3.127132717990891138e+02,3.218776679215385457e+02,3.275189105984454159e+02
2.988472166115375330e+02,3.055490062766390338e+02,3.127563948422592830e+02,3.218484772199137751e+02,3.274958945487038022e+02
2.988938837442076419e+02,3.055311428243626324e+02,3.126862830772925008e+02,3.218094808010815768e+02,3.274453101989796551e+02
2.988672045319282802e+02,3.055311428243626324e+02,3.127940838196047366e+02,3.218728650006668204e+02,3.275878395776899197e+02
2.988806092886641750e+02,3.055904447075974417e+02,3.127617070496929728e+02,3.218776679215385457e+02,3.275602214576811093e+02
2.988739073977008047e+02,3.055252996591021883e+02,3.127455650709285351e+02,3.218582700305478284e+02,3.275510718028048132e+02
2.988139262967721379e+02,3.054660527273093749e+02,3.126809660929407073e+02,3.217607591353388443e+02,3.274131146366362373e+02
2.988406364088718306e+02,3.055133870180081885e+02,3.127348360898839132e+02,3.217900690717596603e+02,3.274453101989796551e+02
2.988272200005907848e+02,3.054541295645906303e+02,3.127078543053380031e+02,3.218094808010815768e+02,3.274637154258247165e+02
2.988339286944374749e+02,3.054600914110522467e+02,3.126755465118949928e+02,3.216973930637787475e+02,3.273947872848461316e+02
2.988472166115375330e+02,3.055430523196764057e+02,3.126539669689341849e+02,3.217169161435036813e+02,3.273947872848461316e+02
2.988072146785586938e+02,3.054719010508280235e+02,3.126323818670872470e+02,3.216924885351182297e+02,3.272796838129318644e+02
2.987939151743283901e+02,3.054838210543490504e+02,3.126755465118949928e+02,3.216973930637787475e+02,3.273486920951901311e+02
2.988806092886641750e+02,3.055075423085520470e+02,3.127078543053380031e+02,3.217510488146361922e+02,3.273947872848461316e+02
2.988339286944374749e+02,3.054896678290631939e+02,3.126593879454264311e+02,3.217315327096128499e+02,3.273671152849483974e+02
2.988272200005907848e+02,3.054719010508280235e+02,3.126378042404032840e+02,3.216924885351182297e+02,3.273533200434422952e+02
2.988339286944374749e+02,3.054541295645906303e+02,3.126593879454264311e+02,3.216290771381922013e+02,3.272796838129318644e+02
2.988539223879139399e+02,3.055015846774222723e+02,3.126216383925659557e+02,3.216193534191311869e+02,3.272612443435955925e+02
2.988806092886641750e+02,3.054719010508280235e+02,3.126862830772925008e+02,3.216827712722626984e+02,3.273164650995465195e+02
2.988739073977008047e+02,3.054363533643215760e+02,3.126216383925659557e+02,3.216193534191311869e+02,3.272658763817237855e+02
2.988005020778368248e+02,3.053710584460254722e+02,3.125622686270954773e+02,3.215411572275359049e+02,3.271736317834988768e+02
2.988139262967721379e+02,3.054303894047851600e+02,3.125460881786787013e+02,3.215020350809243155e+02,3.271829038480841518e+02
2.988406364088718306e+02,3.054007867974867168e+02,3.125190455018667421e+02,3.214727293103869670e+02,3.271136922902746846e+02
2.987939151743283901e+02,3.053829964187777364e+02,3.125406598584056042e+02,3.214727293103869670e+02,3.270998616739596514e+02
2.987939151743283901e+02,3.053532601467010750e+02,3.124920965528554575e+02,3.214238353939359172e+02,3.270767479731703133e+02
2.988005020778368248e+02,3.053532601467010750e+02,3.125082874585086188e+02,3.214189167802998099e+02,3.270721946376451115e+02
2.987939151743283901e+02,3.053294841257098824e+02,3.123839057888736761e+02,3.213210485439392983e+02,3.269428624329342483e+02
2.987939151743283901e+02,3.053829964187777364e+02,3.124488370876060799e+02,3.213699952340202231e+02,3.270167497165037389e+02
2.987872006248213665e+02,3.053354570988332171e+02,3.123785695306112871e+02,3.213014442351504840e+02,3.269105029240678277e+02
2.987604593437300764e+02,3.052998367328792710e+02,3.123406927937918454e+02,3.212671502131832995e+02,3.268457520975726993e+02
2.987737685705065473e+02,3.052938605650753630e+02,3.124109922900091760e+02,3.212622234982731015e+02,3.268965561285416470e+02
2.987203814886630653e+02,3.052522380192126548e+02,3.122811226689245814e+02,3.211396241642930818e+02,3.267624260737008512e+02
2.987404248167677565e+02,3.052224432807997232e+02,3.122702311000277859e+02,3.211200755163783356e+02,3.267531144802383096e+02
2.986936010045064904e+02,3.052284258730990132e+02,3.122160602944628067e+02,3.210267451080656542e+02,3.266604778059060550e+02
2.986668047365087659e+02,3.051569380990121090e+02,3.121890130560470880e+02,3.210169596634300433e+02,3.266094641602201136e+02
2.987337024039179028e+02,3.052284258730990132e+02,3.122215098112823739e+02,3.210120199606386677e+02,3.266141268468780368e+02
2.987604593437300764e+02,3.051867622808619558e+02,3.121455956208423572e+02,3.209726795663716530e+02,3.265073576768024282e+02
2.986735370398100144e+02,3.051867622808619558e+02,3.121455956208423572e+02,3.208940431250181291e+02,3.264470123629735667e+02
2.986534642035016418e+02,3.050854861242596598e+02,3.119989191995358055e+02,3.206970258315724323e+02,3.262517162262502666e+02
2.986199049266448355e+02,3.050734945141463754e+02,3.120261316760825139e+02,3.207117999925062009e+02,3.262936484272706821e+02
2.986065505636813100e+02,3.050377329874866064e+02,3.119608685423255565e+02,3.206131995821248779e+02,3.261446419466244606e+02
2.985797027038424858e+02,3.049720441215823143e+02,3.118847145174759135e+02,3.204651058823683911e+02,3.259160571381343061e+02
2.985594608092243334e+02,3.049183116101668247e+02,3.116995045960080120e+02,3.202968723537512119e+02,3.257851983225102686e+02
2.985460885282478785e+02,3.047986720344284777e+02,3.115685098225250727e+02,3.200738499737726670e+02,3.255041855270328028e+02
2.984856726189183860e+02,3.047507091894086670e+02,3.115193715231192755e+02,3.199398011578142587e+02,3.253445305913745074e+02
2.984587523826575080e+02,3.046966801943742098e+02,3.114209022366450199e+02,3.198702050005830984e+02,3.252317339734951815e+02
2.985259589296201739e+02,3.047507091894086670e+02,3.114919905278707688e+02,3.199795741652344532e+02,3.253586990106724102e+02
2.984990629110931764e+02,3.048285457105262708e+02,3.116122325746410979e+02,3.201035917468436764e+02,3.255370103491349596e+02
2.985259589296201739e+02,3.048285457105262708e+02,3.117049883443194176e+02,3.202671915852468487e+02,3.257243197566773460e+02
2.985528388431273470e+02,3.050198449377360816e+02,3.118575585931694150e+02,3.204749485280218551e+02,3.260001014376230160e+02
2.986534642035016418e+02,3.050258459015581138e+02,3.119608685423255565e+02,3.206230268145014861e+02,3.261399569973988264e+02
2.986735370398100144e+02,3.051033563658999128e+02,3.119880935623094160e+02,3.206772921835854504e+02,3.262517162262502666e+02
2.986735370398100144e+02,3.051152294841081698e+02,3.120315937065446406e+02,3.207512487922213040e+02,3.263447374504894469e+02
2.986801413483395322e+02,3.050734945141463754e+02,3.119935581090093137e+02,3.206920694254916953e+02,3.262703451546101974e+02
2.986668047365087659e+02,3.050973624571181517e+02,3.120315937065446406e+02,3.207462952246391978e+02,3.262936484272706821e+02
2.986735370398100144e+02,3.050914811118464058e+02,3.120533351923413647e+02,3.207315264472485978e+02,3.263307986866069541e+02
2.986600714341524849e+02,3.051212217713269865e+02,3.120696118034136930e+02,3.207857296575370469e+02,3.263029152425223742e+02
2.987003293383977507e+02,3.050914811118464058e+02,3.120043830297707927e+02,3.206920694254916953e+02,3.262470363683231653e+02
2.986735370398100144e+02,3.051093497305012079e+02,3.120098464985014175e+02,3.207019819780758212e+02,3.262470363683231653e+02
2.987337024039179028e+02,3.050676110400161747e+02,3.120369523289431868e+02,3.206822493637363323e+02,3.262610752751591008e+02
2.987269789999541558e+02,3.051033563658999128e+02,3.120261316760825139e+02,3.206920694254916953e+02,3.262330837741869232e+02
2.986735370398100144e+02,3.050556161774770771e+02,3.119880935623094160e+02,3.206329466037885254e+02,3.261958966394944355e+02
2.986332553463313388e+02,3.050317331077261542e+02,3.119608685423255565e+02,3.206033713282914732e+02,3.261678866049097678e+02
2.987136561188281121e+02,3.050556161774770771e+02,3.119663348920514636e+02,3.205934484356286589e+02,3.261306748358009031e+02
2.986868716747538883e+02,3.050734945141463754e+02,3.119174342854062729e+02,3.205638607995146003e+02,3.261399569973988264e+02
2.986936010045064904e+02,3.050437323204171776e+02,3.119337377103407221e+02,3.205292989523566121e+02,3.260839855518665900e+02
2.986399926340528168e+02,3.050198449377360816e+02,3.118847145174759135e+02,3.204551684563551817e+02,3.259860252605487290e+02
2.987203814886630653e+02,3.050198449377360816e+02,3.118738738729219904e+02,3.204255374677446184e+02,3.259767285675414428e+02
2.986266442023838863e+02,3.049123008048354677e+02,3.117376762921442719e+02,3.202325208761624253e+02,3.257617743013743166e+02
2.986534642035016418e+02,3.049481306571898926e+02,3.117976393038856031e+02,3.203117092337141685e+02,3.258506495053440517e+02
2.986131646462198432e+02,3.048824654308598952e+02,3.117321947288924662e+02,3.202325208761624253e+02,3.256775258915279210e+02
2.985797027038424858e+02,3.048704366774701384e+02,3.116449575403258336e+02,3.200887220359150547e+02,3.255791594639587743e+02
2.986199049266448355e+02,3.049003909753979542e+02,3.117376762921442719e+02,3.201482808434263916e+02,3.256587843349568061e+02
2.986131646462198432e+02,3.048345642241457654e+02,3.116558284472641276e+02,3.201185531974039122e+02,3.256494566349396678e+02
2.985998082904372382e+02,3.049003909753979542e+02,3.116285966930756786e+02,3.200391079558729075e+02,3.255182419441946422e+02
2.985259589296201739e+02,3.047866278193527023e+02,3.115193715231192755e+02,3.199496988593170386e+02,3.254431324011947595e+02
2.985729564162863312e+02,3.047926502053658737e+02,3.115083787424956085e+02,3.198552983009387845e+02,3.252929188444630313e+02
2.985594608092243334e+02,3.047567349013727949e+02,3.114646003389777320e+02,3.197955533897946907e+02,3.252505572957679760e+02
2.984789121879290406e+02,3.047147706977686994e+02,3.114098961688129066e+02,3.197308576063030614e+02,3.251799734957491523e+02
2.985058203005253290e+02,3.046847308678423474e+02,3.114209022366450199e+02,3.197358648597888191e+02,3.251517614435210817e+02
2.985797027038424858e+02,3.046786984661602560e+02,3.113989924646813279e+02,3.196611061379450689e+02,3.250905776473007904e+02
2.985460885282478785e+02,3.047267144918673125e+02,3.114044964217021061e+02,3.196312237618391237e+02,3.250764597513892227e+02
2.985393371997121790e+02,3.046727793373983104e+02,3.113278228855511429e+02,3.195663196683251499e+02,3.249680057315945874e+02
2.985192045743281142e+02,3.046186852991762635e+02,3.113003773798357088e+02,3.195313890636533642e+02,3.249067068916337462e+02
2.984990629110931764e+02,3.046607117453181104e+02,3.113003773798357088e+02,3.194665103631726311e+02,3.248547741630280825e+02
2.985259589296201739e+02,3.046067215585106851e+02,3.111961246448699967e+02,3.194315424282650611e+02,3.247886543268595574e+02
2.985327122687865540e+02,3.045466414446627255e+02,3.111522817956056315e+02,3.193365227332770928e+02,3.246704589569492896e+02
2.984519878782170963e+02,3.045466414446627255e+02,3.111027868498179600e+02,3.192314332336410985e+02,3.245710749363219634e+02
2.985058203005253290e+02,3.044863910592550269e+02,3.110698428841849363e+02,3.191764204887191454e+02,3.245284892944299600e+02
2.984250473182896144e+02,3.044322544546109839e+02,3.110313564817532210e+02,3.191212801274548383e+02,3.243909922862717963e+02
2.984990629110931764e+02,3.044863910592550269e+02,3.110148715925816987e+02,3.191111992196655933e+02,3.243909922862717963e+02
2.984318159095491296e+02,3.043961379568586949e+02,3.109157868766402544e+02,3.189456590561560461e+02,3.242200422510026101e+02
2.984856726189183860e+02,3.044683506005108029e+02,3.109322920604633964e+02,3.189305086872873289e+02,3.241963305439970782e+02
2.984116348065857096e+02,3.043478745952017448e+02,3.108551691532915697e+02,3.188149415162020546e+02,3.240774144365756229e+02
2.983914445468111012e+02,3.042875512605362474e+02,3.107779720854850325e+02,3.187344743980353314e+02,3.239774232812353603e+02
2.983846698098281536e+02,3.042935060093205379e+02,3.107393456502205140e+02,3.186891032870628351e+02,3.239202005129073427e+02
2.983644672863644587e+02,3.042089421073267772e+02,3.106675912769476327e+02,3.185681642620660341e+02,3.237914390988714786e+02
2.983239065769417380e+02,3.041787789301876614e+02,3.105514955595415927e+02,3.184571244390663196e+02,3.236673118705396064e+02
2.983442555531050857e+02,3.041726986794531058e+02,3.105736370535753395e+02,3.183207265428725918e+02,3.235572767048833498e+02
2.982834367377252534e+02,3.040940616342509202e+02,3.104850341060367782e+02,3.182904098040368694e+02,3.233896708592271239e+02
2.982497261987605839e+02,3.040759095389537379e+02,3.104074780207541266e+02,3.181638544148099754e+02,3.233465642666706117e+02
2.982902269925476162e+02,3.040759095389537379e+02,3.103576255712532088e+02,3.180878183084341799e+02,3.232266014362613760e+02
