5250,52
5457,16
5646,93
5812,45
5927,37
6000,64
6055,99
6082,35
6108,71
6131,38
6140,34
6143,5
6159,31
6166,17
6168,8
6178,82
6179,87
6179,35
6190,42
6191,47
6198,85
6196,74
6202,01
6212,03
6219,94
6223,63
6229,43
6226,79
6237,86
6246,82
6241,55
6243,66
6246,82
6246,82
6241,02
6249,46
6256,84
6257,36
6255,26
6244,71
6252,62
6261,58
6257,89
6255,78
6255,26
6262,64
6254,2
6255,78
6262,64
6275,29
6275,29
6273,18
6262,11
6248,93
6257,36
6255,78
6249,98
6248,93
6242,6
6249,98
6246,82
6242,6
6249,46
6249,98
6247,88
6237,33
6240,5
6242,6
6230,48
6232,59
6229,95
6230,48
6236,28
6234,17
6229,95
6223,1
6222,05
6228,9
6222,05
6213,61
6209,39
6206,23
6206,23
6200,96
6200,43
6189,89
6195,16
6187,78
6184,09
6183,56
6170,38
6168,28
6158,26
6157,21
6156,68
6152,46
6144,03
6122,94
6124,52
6113,98
6098,17
6080,24
6056,52
6042,29
6034,91
6046,51
6059,68
6077,08
6099,22
6115,03
6120,83
6128,74
6122,41
6128,21
6126,63
6132,43
6122,41
6123,47
6121,36
6122,41
6116,09
6112,93
6111,87
6108,71
6105,02
6097,11
6093,95
6073,39
6081,82
6073,39
6058,1
6064,43
6061,27
6052,83
6043,34
6033,33
6027
6020,15
6020,68
6012,77
6009,61
6002,75
5999,06
5992,21
5988,52
5978,5
5967,43
5961,64
5955,84
5954,78
5937,39
5935,8
5923,68
5915,25
5910,5
5897,85
5886,25
5872,02
5868,86
5855,68
5847,77
5834,07
5828,79
5817,2
5807,18
5798,75
5792,95
5774,5
5762,37
5753,41
5733,91
5726,53
5707,55
5703,86
5688,05
5674,34
5666,43
5652,73
5631,11
5622,15
5602,12
5582,09
5559,42
5548,88
5530,96
5501,96
5480,88
5460,32
5434,49
5421,84
5388,1
5359,63
5324,84
5291,11
5249,99
5213,61
5169,33
5117,15
5060,74
4995,9
4928,96
4849,36
4751,83
4636,39
4513,56
4365,96
4205,71
4044,4
4807,71
4777,14
4752,36
4717,04
4683,83
4645,88
4606,87
4550,99
4495,64
4422,37
4352,26
4258,43
4153,52
4037,55
3936,34
3866,23
3810,88
3752,37
3719,16
3703,87
